Catégorie,Nombre,Pourcentage
Métabolisme,861,19.953650057937427
Transport,479,11.100811123986096
Régulation,370,8.574739281575898
Structure/Motilité,157,3.638470451911935
Réplication/Réparation,396,9.17728852838934
Hypothétiques,791,18.331402085747392
Stress/Défense,132,3.05909617612978
